segment_id,file_id,channel_id,platform,youtube_id,source_url,tiktok_handle,local_filename,start_time,end_time,duration,region,provenance_region,speaker_id,split,channel_split,snr_db,speech_ratio,quality
0,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,0.284,4.684,4.4,Cyrenaica,Cyrenaica,spk_00040,train,dev,31.04,0.9623,clean
1,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,4.684,12.784,8.1,Cyrenaica,Cyrenaica,spk_00040,train,dev,23.36,0.9879,clean
2,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,12.784,17.384,4.6,Cyrenaica,Cyrenaica,spk_00040,train,dev,29.02,0.9717,clean
3,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,17.384,26.384,9.0,Cyrenaica,Cyrenaica,spk_00040,train,dev,27.42,0.9891,clean
4,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,26.384,31.604,5.22,Cyrenaica,Cyrenaica,spk_00040,train,dev,31.39,0.9628,clean
5,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,35.782,45.382,9.6,Cyrenaica,Cyrenaica,spk_00040,train,dev,32.17,0.9462,clean
6,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,45.382,48.582,3.2,Cyrenaica,Cyrenaica,spk_00040,train,dev,35.45,0.9594,clean
7,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,48.582,52.482,3.9,Cyrenaica,Cyrenaica,spk_00040,train,dev,35.17,0.8605,clean
8,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,52.482,60.282,7.8,Cyrenaica,Cyrenaica,spk_00040,train,dev,25.49,0.9833,clean
9,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,60.282,67.382,7.1,Cyrenaica,Cyrenaica,spk_00040,train,dev,28.54,0.9817,clean
10,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,67.382,74.882,7.5,Cyrenaica,Cyrenaica,spk_00040,train,dev,18.55,0.9869,clean
11,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,74.882,80.382,5.5,Cyrenaica,Cyrenaica,spk_00040,train,dev,21.8,0.988,clean
12,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,80.382,86.382,6.0,Cyrenaica,Cyrenaica,spk_00040,train,dev,30.0,0.9357,clean
13,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,86.382,92.082,5.7,Cyrenaica,Cyrenaica,spk_00040,train,dev,33.75,0.9253,clean
14,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,92.082,96.382,4.3,Cyrenaica,Cyrenaica,spk_00040,train,dev,31.13,0.9242,clean
15,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,96.382,101.082,4.7,Cyrenaica,Cyrenaica,spk_00040,train,dev,20.79,0.9791,clean
16,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,101.082,109.682,8.6,Cyrenaica,Cyrenaica,spk_00040,train,dev,25.16,0.9886,clean
17,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,111.997,118.393,6.396,Cyrenaica,Cyrenaica,spk_00040,train,dev,33.56,0.9947,clean
18,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,119.152,126.358,7.206,Cyrenaica,Cyrenaica,spk_00040,train,dev,31.48,0.9814,clean
19,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,133.883,140.228,6.345,Cyrenaica,Cyrenaica,spk_00040,train,dev,26.97,0.9638,clean
20,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,140.937,149.813,8.876,Cyrenaica,Cyrenaica,spk_00040,train,dev,33.49,0.8939,clean
21,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,150.472,154.472,4.0,Cyrenaica,Cyrenaica,spk_00040,train,dev,26.04,0.9995,clean
22,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,154.472,162.972,8.5,Cyrenaica,Cyrenaica,spk_00040,train,dev,31.65,0.9546,clean
23,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,162.972,170.072,7.1,Cyrenaica,Cyrenaica,spk_00040,train,dev,34.82,0.9721,clean
24,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,170.072,177.404,7.332,Cyrenaica,Cyrenaica,spk_00040,train,dev,31.37,0.9692,clean
25,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,180.509,183.58,3.071,Cyrenaica,Cyrenaica,spk_00040,train,dev,21.91,0.9993,clean
26,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,184.475,191.579,7.104,Cyrenaica,Cyrenaica,spk_00040,train,dev,25.91,0.9952,clean
27,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,196.692,202.514,5.822,Cyrenaica,Cyrenaica,spk_00040,train,dev,26.01,0.9942,clean
28,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,203.105,212.505,9.4,Cyrenaica,Cyrenaica,spk_00040,train,dev,35.88,0.924,clean
29,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,212.505,217.405,4.9,Cyrenaica,Cyrenaica,spk_00040,train,dev,39.27,0.8343,clean
30,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,217.405,222.605,5.2,Cyrenaica,Cyrenaica,spk_00040,train,dev,23.42,0.9873,clean
31,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,222.605,230.914,8.309,Cyrenaica,Cyrenaica,spk_00040,train,dev,28.03,0.9805,clean
32,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,235.268,243.068,7.8,Cyrenaica,Cyrenaica,spk_00040,train,dev,27.64,0.9623,clean
33,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,243.068,249.764,6.696,Cyrenaica,Cyrenaica,spk_00040,train,dev,28.21,0.9465,clean
34,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,250.372,259.172,8.8,Cyrenaica,Cyrenaica,spk_00040,train,dev,19.58,0.9961,clean
35,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,262.772,270.072,7.3,Cyrenaica,Cyrenaica,spk_00040,train,dev,28.95,0.9822,clean
36,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,270.072,277.186,7.114,Cyrenaica,Cyrenaica,spk_00040,train,dev,19.8,0.9772,clean
37,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,278.063,285.463,7.4,Cyrenaica,Cyrenaica,spk_00040,train,dev,30.04,0.9732,clean
38,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,288.965,298.265,9.3,Cyrenaica,Cyrenaica,spk_00040,train,dev,26.56,0.9895,clean
39,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,300.035,303.208,3.173,Cyrenaica,Cyrenaica,spk_00040,train,dev,35.09,0.8569,clean
40,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,303.73,311.43,7.7,Cyrenaica,Cyrenaica,spk_00040,train,dev,27.42,0.966,clean
41,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,311.43,316.83,5.4,Cyrenaica,Cyrenaica,spk_00040,train,dev,31.51,0.9581,clean
42,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,316.83,326.03,9.2,Cyrenaica,Cyrenaica,spk_00040,train,dev,29.46,0.9298,clean
43,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,326.03,332.03,6.0,Cyrenaica,Cyrenaica,spk_00040,train,dev,28.6,0.9783,clean
44,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,332.03,336.93,4.9,Cyrenaica,Cyrenaica,spk_00040,train,dev,30.8,0.9604,clean
45,816c631de833,Hakim Alzwey حكيم في بريطانيا,youtube,8-sm4TnxSJI,https://www.youtube.com/@HakimAlzwey/videos,,,336.93,346.23,9.3,Cyrenaica,Cyrenaica,spk_00040,train,dev,30.06,0.9026,clean
